Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Collision
1,B,Medium,-0.7952330456536023,0,B,Medium,1,C,Medium-Low,-1.5246708211468378,1,B,Medium,0
1,B,Low,-1.581135756301581,1,C,Low,1,C,Low,-0.3095321979408399,0,C,Medium-Low,0
0,A,High,-0.6972246989086041,0,B,High,1,B,Low,-1.2111873496533374,0,C,High,0
0,C,High,-0.06332404701874492,1,C,Medium,0,C,Medium-Low,0.7626794170862089,1,B,Low,1
0,A,Medium-Low,-1.3360860284163227,1,A,Medium-Low,0,A,High,0.4991071895570646,1,B,High,0
1,B,Medium-High,0.6318997622598035,0,C,Medium,0,C,Medium-Low,1.8088178256367344,1,A,Medium-High,1
0,B,Medium-High,-0.8393302771451061,1,A,Medium-Low,0,B,Medium-High,-0.8453071417334336,1,A,Medium,0
1,B,High,2.877486720361654,0,A,Low,0,A,High,0.5165016670481145,1,B,High,1
1,C,Medium-High,1.1167649373101127,1,C,Medium,0,B,Medium,-0.3526844918427356,1,B,Medium,1
0,B,Medium-High,0.02036073565955043,1,C,High,1,C,Medium-High,-1.33585353666606,1,B,High,0
1,B,Medium-Low,0.9578023892604345,0,B,Medium-Low,0,A,Medium-Low,-0.05842517180976103,1,B,Low,1
1,C,Low,-2.3402777535890644,1,A,High,1,B,Medium-Low,-0.2419691502403434,0,C,High,0
0,B,High,1.3612094041080132,0,A,Medium,0,A,Low,-0.8308161281224031,1,B,Medium,1
0,B,High,1.2981340353425246,1,C,Medium-High,0,B,Medium-High,-0.9286078616993682,1,B,Medium-Low,1
1,C,Low,0.5718840249060235,0,C,Medium-Low,0,A,Medium-Low,-1.0233721646906948,0,A,Medium-High,0
0,A,Medium-High,-0.9159660572716427,0,B,Low,1,A,Medium,-1.097822132827018,0,A,Medium-Low,0
1,B,Medium-High,0.09081479900939775,0,B,Medium,1,A,Medium,-0.31726972736072223,1,B,Low,0
0,B,High,1.5976876384475494,0,C,High,1,B,High,1.4943018763829794,0,C,Medium-Low,1
1,A,High,0.4266940117737394,1,A,Medium-Low,1,B,High,1.2060254283603207,0,A,High,1
0,C,Low,-0.34434865535778447,1,B,Medium-High,1,A,Medium-Low,1.2328565600522359,1,B,High,1
0,B,Medium,0.810596881847484,1,B,Low,0,A,High,0.6251747566060364,1,A,Low,1
1,C,Medium-Low,1.469645414667055,0,A,Medium-Low,0,B,Low,0.24050057890901813,0,B,Medium,1
1,C,Medium,0.7340705944044805,1,A,Medium-High,0,C,Low,0.47998508241569215,0,B,Medium,1
0,B,Medium-Low,0.6259287563669915,0,A,Low,0,A,Medium,0.4766032609331996,0,C,Medium-Low,1
1,B,Medium-High,1.265343735400395,1,B,Low,1,B,Medium-Low,0.006906615054372504,1,C,Medium,1
0,B,Medium-Low,-1.1914512204024552,1,A,High,0,A,Medium-Low,0.9037712466996229,0,A,High,0
1,C,Medium-Low,0.21243631543776306,0,C,Low,1,C,Medium-High,1.6054824754819934,1,A,Medium,1
1,C,Medium-High,-0.7949890123345661,0,A,Medium-Low,1,B,Medium-Low,-0.5965150413617127,1,A,High,0
0,A,Low,-1.0120751885550088,1,C,Medium-High,0,A,Medium,-0.4973717370339798,1,C,Medium-Low,0
1,C,High,0.3078831044042771,1,A,Medium,1,A,High,0.2760713382030976,1,A,High,1
1,B,Medium-Low,0.11267681470146863,1,A,Medium-Low,0,A,Medium-High,-1.2336249188589814,0,B,High,0
1,C,Medium,-1.3848216032122336,0,C,Medium-Low,0,C,Medium-Low,2.2978344951658984,0,B,Medium-Low,1
1,A,Low,0.3628179322382739,1,B,Medium-Low,1,A,Medium-Low,0.245718258208977,1,A,High,1
0,C,Low,0.9932989780417181,0,A,Medium,1,B,Medium-Low,0.5761071603459424,0,C,High,1
1,B,Medium-Low,-0.13283437287931224,0,C,Medium,1,A,High,-1.0179610987945387,1,C,Medium-Low,0
1,B,Medium,0.6293496444361414,1,A,Medium,0,A,Medium,-0.6332922078285917,0,A,Low,0
1,C,Low,-0.7857263155849644,0,B,Medium-High,1,A,Medium,0.9606154334758267,1,C,High,1
1,A,Low,1.2279494276281098,0,B,High,1,B,Medium-Low,-1.3368455726979422,1,B,Medium,0
0,C,Low,-1.0656081234262123,1,A,Medium-High,0,A,Medium-High,0.07155774578629157,0,B,Medium,0
0,B,Medium-High,0.11976739972014477,0,B,Low,1,B,Low,1.534838868026317,1,A,Medium-Low,1
1,C,Low,0.36817713029971616,1,B,High,1,A,Low,0.5662962754127976,1,A,High,1
1,A,Medium-Low,-0.36778946669382484,0,A,Low,0,B,High,2.551033854775003,1,B,Medium-Low,1
0,B,High,-0.20799063438257792,0,B,Low,1,C,High,-0.071039835323885,0,B,High,0
1,A,Medium-High,2.064356203096124,1,B,Low,0,C,Low,1.4941564191329455,1,A,Medium-Low,1
1,C,High,-0.8967291645344485,1,A,High,1,B,Medium,1.3266711816929702,0,B,Medium-Low,1
1,B,Medium-Low,0.7480999377828019,0,B,High,0,C,Medium,1.2172413482698927,1,C,High,1
1,B,Medium-Low,1.7507127864612142,0,B,Medium-High,0,A,Low,-1.4317629394336868,0,C,High,1
0,A,Medium-High,1.5068770589704479,0,C,Low,0,A,High,-1.0097702292864874,1,C,High,1
0,B,Medium-Low,-1.1148579010367283,1,B,Low,1,C,Medium-Low,0.123083704253925,0,A,Medium,0
0,A,Medium,-0.29535666973378916,1,C,Medium-High,1,C,Medium-High,-1.1460837378169642,1,A,Medium,0
1,A,Medium-Low,-0.9849342371506212,1,C,Medium,1,A,Medium-High,0.686637519019993,0,C,Medium-Low,0
1,B,Low,-0.11747469171684559,1,C,Medium,0,A,High,0.3802928924970789,1,B,Low,1
1,C,Medium,0.77747716235134,0,B,Medium-High,0,C,Medium,-0.37882730218314825,1,C,Medium-High,1
0,C,Medium-Low,-0.3880706183273168,0,B,Medium,0,A,Medium-High,0.26510356352605946,1,B,Medium-Low,0
0,A,Medium-High,-0.9028880924359393,0,C,Medium,0,A,Low,-0.422292915157329,0,A,Low,0
0,A,Low,-0.7366571259459673,1,A,High,1,A,Medium-Low,0.05895126058132553,1,A,Low,0
0,A,Low,0.6475830949278837,1,C,Medium-Low,1,C,Medium-High,-0.5507961839519662,1,A,Medium-Low,1
1,C,Low,-1.7311325926555916,1,C,Medium-Low,1,A,High,-0.9162901666259583,1,B,Medium,0
0,C,Medium-Low,-0.8938564233628389,0,A,Medium,1,C,Low,0.07840742675096295,1,A,Low,0
1,C,High,2.323973589552701,0,B,High,1,B,Low,-1.4943960037543462,1,B,Medium,1
1,B,Low,-1.21013543634758,0,C,Low,0,A,Medium-Low,-0.8132404429142371,0,A,Medium-Low,0
0,A,Medium-High,-0.8424897277305936,1,A,Medium-High,1,A,Medium,-0.819166728976059,0,B,Low,0
0,A,High,0.4775495287004496,0,A,Medium-Low,0,C,Low,0.23997377130084468,0,C,Medium-High,1
0,B,High,0.7349820787192283,1,C,Medium,0,C,Medium,-0.04480091358759104,1,A,Medium-Low,1
1,C,Medium-High,-1.8327450591619365,0,A,Low,1,B,Medium-High,-0.7748675586546049,1,A,Medium,0
1,A,Medium,-1.3113040889114396,0,C,Medium-High,1,C,Medium-High,-0.663538032594775,1,A,Low,0
0,A,High,-2.244041933162869,1,C,Medium-High,0,A,Medium-Low,0.5869417576848364,1,B,Low,0
0,A,Medium-High,-0.7177602755160538,0,C,Low,0,C,High,-0.7613972024288089,1,C,Medium-Low,0
1,C,High,1.5958245456334816,0,B,Low,0,C,Medium,1.6210776177813153,0,C,Medium-High,1
1,A,Low,-0.735652475855311,0,B,Medium-High,0,A,Low,0.3539227080248149,0,C,High,0
0,A,Medium-High,0.6234133592250874,1,B,Medium-Low,1,B,Medium,0.10902262597865303,1,C,Medium,1
1,C,Low,-1.8704880388615872,0,A,High,0,B,High,-0.5934156517807029,1,A,Medium-High,0
0,C,High,1.5026078991832825,1,C,Medium-High,1,C,High,-0.06468972974461927,0,A,High,1
1,B,Medium,-1.408536435577804,1,A,Low,1,C,Medium-High,0.6250427595594927,0,B,Medium-High,0
0,C,Medium,-0.5181944876961264,0,A,Medium,1,C,High,1.3333446442431296,1,C,High,1
0,C,Medium-Low,-2.3188730063626117,0,A,Medium,0,C,Medium,-0.7071128693830534,0,B,Medium,0
0,C,Medium,-0.774158484425736,1,B,Medium-High,0,C,Medium-High,1.0150830650468505,0,C,High,1
1,B,Low,1.8490358886639147,0,B,High,1,B,Medium-High,-1.5966134650546615,1,C,High,1
0,A,Medium-Low,0.2840276606917713,1,B,Low,0,A,Low,-1.1139026355596502,1,B,Medium,0
1,A,Low,-0.15440527966185583,0,C,Medium,1,B,High,-0.30732232850330904,1,A,Medium-Low,0
0,B,Medium-High,2.0105497047683762,1,C,Medium-High,1,B,Low,-0.6566621400604448,1,B,Medium,1
1,B,Low,0.3199465795731017,0,A,High,1,B,High,-1.8252171472458347,0,B,Medium-Low,0
1,B,Medium,-0.7866434872204491,0,A,Medium-Low,0,A,High,-1.4043026174278077,1,A,Medium,0
1,C,Low,0.047070798195804814,0,B,High,0,B,Medium-High,1.9560498958949102,1,C,Medium,1
1,C,Low,-0.33170384066964803,1,B,Medium-Low,1,C,Medium,-0.5769411981146364,0,B,Medium,0
0,A,Medium,0.11694971416804038,1,C,Medium,0,C,Medium,0.6577097167779705,0,C,Medium-High,1
1,B,High,-0.6590882824349749,0,B,Medium-High,0,C,High,1.2621032868930346,0,C,Medium,1
1,C,Medium-Low,-0.20558048547960278,1,A,Medium-Low,1,C,Medium-Low,0.5697074250254928,1,C,Medium-Low,1
1,C,Medium-Low,1.0531952060961225,1,A,Medium-High,0,A,Medium-Low,-0.6218998016130197,1,C,Medium-Low,1
0,A,Low,0.8482917608888362,0,A,Medium,1,A,Medium-Low,-0.33907037416667285,1,C,Medium,1
1,C,High,0.6125412410511984,1,B,Medium-Low,1,A,Medium-High,0.019075272730999286,1,C,Low,1
0,B,Medium-Low,0.1078352276166613,1,B,High,1,C,Low,-0.7901255404028639,1,A,Medium-High,0
0,C,Medium-Low,0.9604279124627659,0,C,Medium-Low,1,A,Medium,-0.5655559190080793,1,A,Medium-High,1
1,C,Low,0.3787654260351477,0,A,High,1,B,Medium-High,-1.982294818739161,0,A,Low,0
0,A,High,-0.09985448404244508,0,C,Medium-High,1,A,High,-0.26913057231823373,1,A,Low,0
1,B,High,-1.6231730974459244,1,B,Medium-High,1,C,Medium-High,1.8785949154247084,1,B,Medium,1
1,C,High,0.17274696673188192,1,B,Low,1,B,Medium,0.3229440965608837,0,A,High,1
1,B,Medium-Low,-1.6819206455138733,0,B,Medium-High,0,B,Medium,0.5517813076083204,1,A,Medium-Low,0
0,C,Low,1.094537842925577,1,A,Medium,0,A,Low,-0.8241808132760693,1,C,Medium-High,1
1,B,Medium-Low,-0.1361455224621663,1,B,Medium-Low,0,C,Medium-Low,0.5340347702865855,0,C,High,1
1,C,Low,0.7496942761514035,1,A,High,1,B,Medium-High,-0.5392829976635222,1,B,High,1
1,A,Medium-High,0.09028143740579131,1,A,Medium,1,A,Medium,0.6258304394221976,1,B,Medium-Low,1
0,A,Low,-0.07482395738043221,1,C,Medium,0,A,Medium-Low,0.7750745848034628,1,B,Medium,1
0,C,Low,-0.9359601015911692,0,B,Medium-High,1,A,Medium-Low,-1.2329266836286525,0,C,Medium-Low,0
1,C,High,0.9637797981781182,0,B,Medium-High,1,B,Medium-High,-0.2930308288323891,0,C,Medium,1
1,B,Medium-High,0.908713413190429,0,C,Medium-High,1,C,Low,-1.0542581984343862,0,B,Low,0
1,C,Medium-High,-0.9014933346643793,1,B,High,1,A,High,-0.20543778627628337,0,A,Low,0
1,A,Medium,-0.6435075676604223,0,C,Low,1,A,High,0.7138645586983283,0,B,Low,1
0,A,Medium,-1.9555595740645557,1,A,Medium,1,A,Medium,-1.4146384810615265,1,C,Low,0
1,B,Medium-Low,0.17734405869614883,0,B,Medium,0,B,High,-0.5030358047665111,0,A,High,0
0,C,Medium-High,0.3444579991466328,1,B,Medium-High,0,B,High,1.5043236519121588,0,C,Low,1
1,A,Medium,1.607619562199801,0,A,Medium-High,0,A,Low,0.9598947187116346,0,A,Medium-High,1
0,A,Medium-High,1.6288777760438877,1,B,Low,1,B,Medium-Low,0.09286020455244128,0,B,Low,1
1,B,Low,-1.1231937578547064,0,A,Medium-High,1,B,Medium-Low,2.0437643384280624,0,C,Medium-Low,1
1,A,High,-0.3628619196716992,0,A,High,0,B,Medium,0.2740641712146987,1,B,Medium-Low,0
1,B,Medium-Low,0.22369540930902065,0,A,High,0,B,Medium-Low,-2.0907524775300708,1,A,Low,0
0,A,Medium-High,0.3547502048543704,0,B,Medium-High,1,A,Medium-High,-0.09580965255652876,0,A,Medium-High,1
0,A,Medium-High,1.9122646351379866,1,B,Medium-Low,0,A,Medium-High,-0.44222598109970546,0,C,Medium-Low,1
1,A,High,-0.9251016607789573,1,C,Medium-High,0,A,Medium-High,0.1983329219861227,1,B,Medium,0
1,C,Low,0.07102386603738935,1,C,Medium-High,1,A,Medium,0.8624680754587903,0,B,Medium-High,1
0,A,Medium,-0.28277654980347483,1,C,Medium-High,1,B,High,-1.041784147365341,0,A,Low,0
0,B,Low,-0.9927270336787649,0,B,Medium-High,1,A,High,-1.8825909188096275,0,C,Medium-High,0
0,C,Medium,0.9345004954984854,0,A,Low,1,A,Medium-High,0.48438348597808395,1,A,Medium-Low,1
1,B,High,-1.2462613320536482,1,C,Medium,0,C,Medium-High,-0.8917151299886207,1,C,High,0
1,C,Medium,0.5917301328473561,0,C,Medium-High,1,B,High,-1.0850557299103825,1,A,High,0
0,A,Medium,2.520329626794411,0,A,Low,1,C,Low,-0.45527839438471224,0,A,High,1
0,B,Medium,1.262139659042539,1,C,Low,0,A,Low,-0.6265127881426843,1,B,Medium-Low,1
1,A,Medium-High,-0.22370944935704043,0,C,Low,0,B,Medium-High,0.42061510901065313,1,A,High,1
0,B,Medium,0.2078410481835212,1,B,Medium-Low,1,A,Medium-High,0.3142827567119705,1,B,Low,1
1,C,High,-1.1516948063651096,0,C,Low,0,C,Medium,-0.3799041791592912,1,A,Medium-High,0
0,B,Medium-High,1.718542648929485,0,C,High,0,C,Low,0.2087452213464862,0,C,Medium-Low,1
1,C,Medium-Low,-1.1665528583191906,1,B,Medium,0,A,High,1.0189958009413376,1,A,High,0
1,A,Medium,-0.7132979731831393,0,A,High,1,B,Medium,-1.396197150438588,0,B,Medium-Low,0
1,C,Medium-High,-0.2281708840685181,0,A,Medium,0,B,Medium-Low,1.451122455184826,1,B,Low,1
0,C,High,-0.4684054772997643,0,C,High,1,C,Medium-Low,0.5791717188418318,1,A,Medium-Low,1
1,C,Medium-Low,0.26259605332519825,1,C,High,0,B,Medium,0.5555364130327125,1,A,Medium-High,1
0,C,High,-0.08483212242616653,0,C,Medium-Low,0,C,Medium-High,0.7422486361123568,0,A,Medium,1
0,B,High,-0.5351343778606914,0,A,High,1,B,High,-0.9566540099639448,0,B,Medium,0
1,B,High,0.47131700139121235,1,A,Low,0,C,Medium,0.06934043972234713,1,B,Medium,1
0,B,Medium,-1.2044850101885658,0,B,Medium-High,0,A,High,-0.6442716275537947,1,C,Medium-High,0
0,A,Medium,0.17154606833748876,1,B,Low,0,A,High,2.0436760252925392,0,C,Medium-Low,1
1,A,Medium,-1.0408721504720695,1,A,High,1,B,Medium-High,-0.6822240065317647,1,A,High,0
1,A,Medium-Low,0.6963739466890887,0,A,Low,1,C,High,0.08246578937592705,0,B,High,1
1,B,Medium-High,-2.6123156825515417,0,A,Medium-Low,0,A,High,-0.560377786458391,0,A,Medium-High,0
0,B,Medium-High,-1.8507475987861068,0,B,Medium-Low,0,C,High,-0.2753954063547262,1,B,Medium-Low,0
0,B,Medium-Low,-1.8290139124627844,1,A,High,1,A,Medium-Low,-1.2327835029130756,0,A,High,0
0,A,High,-1.1996392900326585,0,C,Medium,1,C,High,0.11335512835717447,0,A,Medium,0
1,B,High,0.4866754038724875,0,A,High,0,C,Medium-High,-1.2305904045980567,1,C,High,0
0,A,Medium-High,1.6843934830227145,1,B,High,1,A,High,2.281078791657539,0,C,Medium-High,1
0,C,Medium-Low,-0.018071741944511124,0,C,Medium-Low,1,C,Medium-Low,-0.13265464325788867,0,B,Medium,0
0,C,High,0.36658260725616215,0,B,Medium-Low,1,B,Medium-Low,-1.3952785753170116,1,B,High,0
0,A,Medium-Low,-0.5025485198892107,1,A,Medium,1,B,Medium-High,0.9992186192590303,1,C,Medium-High,1
1,B,Medium-High,-0.06566160750570489,1,B,Low,1,C,High,-1.091538206342042,1,B,Medium-High,0
1,A,High,0.20636524504625894,0,A,High,0,C,Medium-Low,-2.150655953442337,0,C,Medium,0
0,A,Low,-0.8507665788917897,0,C,High,1,A,Medium,-0.8862077269067874,1,A,Medium,0
1,A,Medium,-0.9050057988275895,0,A,Medium,0,C,High,0.1198289990487915,0,C,Medium-Low,0
0,A,Medium,0.9374646919217055,1,A,Medium,0,A,Medium,0.5432550627718709,0,A,Low,1
1,B,Low,-0.5333499188433521,0,A,High,0,A,Medium,-0.2808448098926861,1,B,Medium,0
0,A,Medium,-0.329338703356708,0,B,Medium,0,B,Low,-0.8419764111977199,0,B,Medium,0
1,C,Medium,-0.3687200508611518,0,A,Medium-Low,1,B,Medium,-0.6438847082700627,1,B,Medium-High,0
0,C,Medium-High,-1.7822357797664246,0,B,High,0,C,Medium-Low,0.07485277480484233,0,C,Medium-Low,0
1,B,High,-1.7655227564491018,0,C,Medium,1,B,Medium-Low,-1.3064187231308393,1,B,Medium,0
0,C,Medium-Low,-0.6876280469963352,1,B,Low,0,A,High,0.1344793753664005,1,A,Medium-High,0
0,B,Low,-0.5307441573091933,1,B,Low,0,B,Medium-High,0.423287396645406,1,B,Medium-High,0
0,A,Medium-High,0.25649662777630006,0,A,Low,0,B,Medium,-1.1315872575411277,1,B,High,0
1,B,Medium,1.1337231052123444,0,A,High,1,B,Medium-High,0.25575418691348634,1,A,Medium-Low,1
1,A,Medium-Low,-1.906550458994151,1,B,Medium-High,1,C,Medium-Low,-0.8566100666762066,1,A,High,0
1,B,Medium,2.238211705750808,0,B,Medium-High,1,B,Medium-Low,-1.84028865413748,1,C,Low,1
0,C,Medium-Low,1.6952147080642073,0,B,High,0,A,Medium-High,-0.5653253111603249,1,C,Medium-Low,1
1,C,Medium-High,-1.0088774289506564,0,C,Medium-Low,1,C,Medium-High,-0.5259571032349865,0,C,High,0
0,A,Medium,-0.04275157907048624,1,B,High,0,A,Low,-0.3854294892520927,0,A,Medium-High,0
1,B,High,-0.04357618970430718,1,B,High,1,B,High,-1.214721937098372,0,B,Medium,0
1,B,Medium-Low,0.2811694037253657,0,A,High,1,A,Medium,-0.44249830045749206,0,B,Medium-Low,0
0,B,Medium-High,-0.4682881834187696,1,A,Medium-High,1,A,Medium,0.7768104866038668,1,C,Low,1
0,C,Medium-Low,0.4437426957060724,0,A,Medium,1,C,Medium-High,-0.868130567485635,0,B,High,0
1,C,Low,1.3173496066883468,0,B,Medium,0,A,Medium-Low,-1.025848911375118,0,B,Medium-High,1
0,C,Medium-High,-2.8897236889083775,1,A,High,0,A,Medium-High,-0.6082253774122732,1,B,Low,0
0,B,High,-1.5786113921058096,1,B,High,1,C,Medium-Low,0.47672133618132456,1,B,Medium-Low,0
0,A,Low,0.4968609067933352,0,A,Medium,0,B,Medium-High,0.04493557325274307,0,C,Medium,1
1,C,Medium-High,0.8678067702537451,0,C,Medium-Low,1,B,Low,1.3486022590020652,0,C,Medium,1
0,C,Medium-High,-1.8095405600426162,0,A,Low,1,C,Medium-High,-0.2743293362717416,0,C,Low,0
0,B,Medium,-0.6053324146003152,0,C,High,0,B,Medium-High,-1.1249736341711545,0,C,Low,0
0,B,High,-0.904728853637653,1,C,High,0,A,Medium-High,-1.4131514750068082,0,B,Low,0
1,A,Medium,-0.7877103285185434,0,A,Medium-High,0,B,Medium-High,-1.6347203794675262,0,B,Low,0
1,C,Medium,0.49302309746040146,0,A,Medium,0,B,Low,1.3556050565861268,0,C,Medium-Low,1
0,A,Medium-High,-0.2501602845619468,1,A,Medium-High,0,B,Medium,-0.2633797072650053,1,A,Medium-Low,0
1,B,Medium-High,0.004665149806008654,0,C,Medium-Low,0,A,High,0.018019680026530528,0,B,Medium-Low,0
0,A,Low,-0.402238773063329,0,A,High,1,A,Medium-High,-0.48835064036075154,0,C,Medium-Low,0
0,C,Medium-Low,0.10335132828540167,0,B,High,0,C,Low,0.3133561122928971,0,A,Medium-High,1
0,C,Medium-High,-0.4907980379401848,0,C,Medium-Low,1,C,Medium,-0.7250719696578268,1,C,Medium-Low,0
1,B,Medium,1.3342788166468658,1,C,Medium-Low,1,C,Medium,-0.9172401876038915,1,C,Medium-Low,1
1,C,Low,-1.3248809772305485,0,C,Medium-Low,1,A,Medium-Low,0.08133894444637108,1,C,Medium,0
1,A,Low,-0.1265008530032001,0,A,Low,1,B,Medium,0.38770180960596384,0,B,Low,1
0,A,High,0.07429812123943269,0,A,Low,0,C,Low,-0.7738130575857698,0,A,Medium,0
0,B,Low,-0.8989264262618828,0,A,Low,1,A,Medium,-0.8613744558192481,0,C,Medium-Low,0
0,A,High,1.7235084541020274,1,B,Medium-High,1,C,High,-1.1170825267892768,0,B,Medium-High,1
0,C,Medium-High,1.2505331883786084,0,B,Low,0,C,Medium-High,-0.19454613097733628,0,C,Medium-High,1
1,C,Medium-High,-0.5581739015278677,0,C,Medium-Low,1,C,Low,0.7807293209367514,1,B,Medium,1
1,A,Medium-High,-1.3702203206931238,0,B,High,0,B,Medium,-2.6379567427480495e-06,0,B,High,0
1,B,Medium,-0.31960092168560394,0,B,High,0,B,Medium,1.7437690522442566,1,B,Medium,1
0,B,Medium-High,-0.7223025538685771,1,B,Low,0,B,High,-0.2034419410522579,0,B,High,0
0,A,High,-1.774296019042231,0,A,Low,1,B,Low,-0.09433610489048996,1,B,Low,0
0,B,Medium,-0.09332127596704869,0,B,Medium,1,C,High,-0.07867513657403957,0,B,Medium-Low,0
1,B,High,-0.5254911892214128,0,C,High,0,C,Medium,-1.2150340803286832,0,C,Medium-Low,0
0,C,Medium-Low,-0.6855238089500966,1,B,Medium-Low,1,B,Medium-Low,0.8059600227193511,0,B,High,1
0,B,Low,-0.04022120620798981,0,B,High,1,C,High,-0.06032617661198413,1,A,Low,0
0,C,Medium-Low,-2.0545334086696068,1,B,Medium-Low,1,A,Low,-0.5642012952920751,0,A,Low,0
1,B,Low,1.2083061153344978,0,C,Low,0,B,Medium,-0.9423287350466849,1,C,Medium,1
1,B,Medium,-1.4162045708891828,0,B,Low,1,B,Medium-High,2.074715790884285,1,B,Medium-Low,1
1,A,Medium-High,-0.9792864713569688,1,A,Medium-Low,0,A,Low,2.2337561137836115,0,C,High,1
1,A,Low,-1.9236823260815061,0,B,Medium-Low,1,C,Medium-Low,1.3653318545754196,0,C,Medium,0
0,A,Medium-High,-1.400772272148716,1,C,Medium-High,1,B,Low,-0.23914153970568866,1,C,Medium,0
1,B,Medium-High,0.07328431241344678,1,B,Medium-High,0,C,Medium-Low,0.18299397917510388,1,C,Medium,1
0,C,Medium-Low,0.8552152887828423,1,A,Medium-Low,0,C,Low,-0.42091605636903723,1,A,Low,1
0,B,High,1.8368716073711835,1,C,Low,1,B,Low,1.0781588190958267,0,B,High,1
0,A,Low,-0.30330543390648484,0,C,Medium-High,0,C,Medium-High,-0.8481085424470636,0,A,Medium-Low,0
0,A,Medium-Low,-0.5464635019002281,1,C,High,1,B,Low,1.1977222991923646,1,A,High,1
0,C,Medium,-0.2782904514534985,1,C,Medium-High,0,A,Medium-Low,0.06241651101094554,0,B,High,0
1,A,Medium-High,-1.5573043849489554,0,B,Low,0,A,Medium,0.07258914436237729,1,B,Medium,0
1,C,Medium-Low,-0.5096264686556914,1,C,High,0,C,Low,-1.617116590076307,1,C,Medium-High,0
1,B,Medium,0.48223624596273384,0,A,Medium,0,A,Low,1.4290872964075,0,C,Medium-Low,1
0,C,High,0.11999802905567364,1,C,Medium-High,0,A,Low,-0.37304581116908664,0,A,Medium-High,0
1,C,High,-0.25303473751189576,0,B,Medium-High,1,B,Medium-Low,-1.6021877110079124,0,A,High,0
0,A,Medium,1.4408506647469808,1,A,Medium,0,A,Low,0.7735443359572274,1,A,Medium,1
0,B,Medium-High,0.40939237815586377,0,A,Low,1,B,Medium-Low,-0.25942206447905936,0,C,Medium-High,1
0,C,Medium,-0.603828336443017,0,B,High,0,A,High,0.6453522454638724,0,B,Medium,0
1,B,Low,-0.5256283803163342,1,A,Medium-Low,1,B,High,-1.0567809816982872,1,C,High,0
0,A,Low,-0.14903790067066894,1,A,Medium-Low,1,A,Low,0.19388600924346996,0,A,Medium-High,1
1,B,Low,1.2012167356858001,0,C,Medium-High,0,C,Medium-Low,0.6724632404544237,0,A,High,1
1,A,High,-0.34910145685823624,1,B,High,0,C,Medium-High,0.27915119248953707,0,C,Medium-Low,0
0,C,Low,0.08863057390917818,0,A,High,1,A,Medium-High,0.5511616161982853,1,B,Medium,1
0,C,Medium-Low,0.8534468450023648,1,A,Medium-High,0,B,Medium-High,1.8685553505716748,0,C,High,1
