Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Collision
0,B,Medium-Low,-1.4163582591407087,0,C,0,C,Low,0.04342042174382212,1,C,0
0,B,Medium-Low,0.19090239516733087,0,B,0,C,Medium-Low,0.9515329716956245,0,B,1
1,B,Medium,-0.8985650704306609,1,A,1,A,Medium-Low,-0.23427066827885995,0,C,0
0,B,Medium-Low,0.22476207957694458,1,C,1,A,High,-0.08972904110885224,0,B,1
1,C,Medium-Low,-1.1396045353464084,0,A,0,C,High,-0.5865437359938361,1,C,0
1,C,High,1.0588547012734248,1,B,1,B,Medium,-0.6400351021724521,1,C,1
0,C,Medium-High,0.9453885937439422,0,C,0,C,High,-0.25570577341017275,0,C,1
1,C,Medium,2.3646061006039933,0,C,1,C,Medium,-1.5514141665748857,1,A,1
0,A,High,1.5735781031083074,1,C,1,A,Medium-High,0.16474378080004892,0,C,1
1,A,Medium,0.4922234145598897,1,B,0,B,Medium-High,-0.6983134329708505,0,A,0
0,B,Medium-High,0.2595559947678155,0,C,0,C,Medium-Low,0.0585046244702821,0,A,1
0,B,Medium-Low,-0.30130617960481504,1,A,0,B,High,1.2591001237778814,0,B,1
0,C,Medium-High,1.5224378105600882,0,A,0,A,Medium-Low,1.369911232304624,0,A,1
1,B,Medium-Low,-0.6131383904460035,0,C,0,A,Medium-Low,0.525484166285265,1,B,0
0,C,Medium-High,1.097450482301937,0,B,1,A,Medium-Low,0.31719273177657015,1,A,1
0,A,Medium-Low,0.8686238882932678,1,B,1,B,Medium-Low,-0.9450317796437819,0,C,0
0,A,Medium-Low,-0.8983219851051074,1,A,1,B,Low,-0.1215703503998911,1,C,0
0,A,High,-1.7245361563021095,1,A,0,C,Medium,1.3602313500757148,0,A,0
1,B,Medium-Low,-2.9717673779784644,1,A,0,B,Low,0.06913663194913088,0,C,0
1,B,Medium-High,-0.39708934012441416,1,C,1,A,High,-0.7594344145195507,0,C,0
1,A,Medium-Low,-0.4521354624590273,0,A,0,C,Medium-High,-0.9752960268480816,0,A,0
0,C,Medium-High,0.2345767819375691,1,A,1,B,High,-1.636118104186597,0,C,0
1,A,Low,-0.9581772286836907,1,C,1,A,Medium,0.12208506444586978,1,C,0
0,C,Low,-0.8512382275915157,0,A,0,A,High,-0.2054854349584871,1,C,0
1,A,Medium,1.6125903119259841,0,B,1,A,Medium-Low,0.8514496197121371,1,A,1
1,A,Medium-Low,-0.5851989871061893,0,B,0,A,High,-0.02703249477848849,0,B,0
1,A,Medium,1.8025992771436479,0,C,1,B,High,-2.164892043123968,0,B,0
1,C,Medium,0.9674897652372044,1,A,0,B,Low,0.054695601188467544,1,A,1
1,C,Low,0.1893155789221537,0,C,0,B,Medium,-0.7617770866236858,1,A,0
1,C,Medium-Low,0.5582230174418616,0,C,1,B,Medium-Low,0.11332004685313549,0,B,1
0,B,Low,0.29513454115736243,1,A,0,A,Low,-1.5372959663570207,0,A,0
