Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Collision
1,B,Low,-0.4696764717438184,1,C,High,0.6809815099388653,0,B,Medium-High,-1.2470753080062529,0,A,Low,2.0525865876074585,1
0,A,Medium-Low,-1.3114727008307492,0,C,Medium,-0.36504639526424854,0,C,Low,0.10315930604283957,1,A,Medium-Low,1.0504954896900343,0
1,A,Medium-High,0.5093921743135571,0,B,Medium-Low,1.0768729586098587,1,A,Medium-High,-1.3527675935245895,1,C,Medium-High,0.5579391213348367,1
1,C,High,-0.10675304243751432,0,A,Medium-Low,-0.7508767255314599,0,B,High,0.10114666137175105,1,C,Medium-Low,-0.033461730791746,0
1,C,Medium-Low,-0.1539035715416431,1,B,Medium,0.5570824705301176,0,C,Medium-High,-1.8929209966625196,0,B,Low,-0.3040834480331136,0
0,A,Medium-Low,-2.325189865224662,1,B,Low,-0.9199089702002764,1,B,Medium-High,-1.85842131875905,1,B,Medium-High,-1.0423926742110705,0
1,B,Medium-Low,0.26275453399085613,0,B,Medium-Low,-0.41920900389684884,1,B,Medium,0.5396092768010677,0,C,Medium,0.4790615773914425,1
1,C,Low,1.2753595673757425,0,B,Medium,1.279098486601197,1,A,Medium-Low,1.086607225076403,1,B,Medium,2.410303479798307,1
1,B,Medium-High,0.18348399090003814,0,C,Medium-High,-0.7570050271189578,0,C,High,0.20086671863840622,0,B,Low,-0.351138564117795,0
1,C,Medium,-0.012044648146869213,1,A,Low,-0.20072632040331936,0,B,Medium-Low,-0.7161404487911102,0,A,Medium-Low,0.5118595667167355,0
0,A,Medium-High,0.9386533190112316,0,A,Medium-High,1.1036168189829443,1,C,Medium,0.15856583834973104,1,B,Medium-High,0.9430757786852371,1
1,A,Medium-High,0.5765828655429204,1,C,Low,-1.4100607085650656,1,B,High,-0.8799338103072895,1,B,Low,-0.8036734390692737,0
1,B,Medium,1.2352117486159948,1,B,High,-0.6038219530126483,1,B,High,-1.3399998183915933,0,A,Low,-1.0374101238490543,0
0,C,Low,-0.5158498927935665,0,A,High,0.4024983310604066,0,A,High,-0.44704086233984036,1,C,High,1.2529829849155025,1
1,C,Medium-High,-1.3184217626426964,0,B,Medium,-0.33496474452695546,0,A,Low,-1.829934211637721,1,B,Medium-Low,-0.5496696807549561,0
0,B,Medium-Low,0.7450248764575574,1,C,High,-0.8641312639274078,0,B,Medium-Low,0.34175444847136804,1,C,Low,-0.04396716802283729,1
1,A,High,-0.5442149773801223,1,A,High,-3.122547749678286,0,A,High,-0.7650277803254132,0,C,Medium,-0.11597880246905122,0
1,B,Medium-High,-0.00782132620636916,1,A,Low,-1.4191686395757328,0,B,Medium,-0.0193896866120102,1,B,Low,-1.2333294998604025,0
1,B,Medium,-0.4084220548929969,0,C,Medium-Low,1.734069942862388,0,A,Medium,0.5374261394685691,1,A,Low,-1.3380917742934395,1
0,A,High,-0.7062589383869606,0,C,High,-0.2079244196364054,0,B,Low,-0.7159613097196361,1,C,Low,-0.009206448403425627,0
0,A,High,-0.552732442497481,1,C,Low,1.4540346835223479,1,B,High,0.1852902139214776,1,C,Medium,0.01582204155673477,1
0,B,High,-1.1075644396844937,1,B,Low,2.908463679009079,0,A,Low,-0.481554239585274,1,A,Medium,2.356967114249818,1
0,B,Low,0.7408667711544419,0,C,Medium-High,-0.35318733660493135,0,B,Medium,-0.5018455107768884,0,B,Low,-0.1304533645067223,0
0,B,Medium,2.1136377198736946,0,A,Medium-High,-0.5042961909041319,0,B,Low,-0.7421294150628894,0,C,High,0.5055314470240535,1
1,B,Medium-Low,-0.8890360193371751,1,B,Medium-High,-0.45076665796055493,1,C,Medium-Low,0.6074111516303895,0,B,Medium,0.5051553400790382,0
0,A,Low,1.2401322571458369,0,B,High,-0.37597771583793316,0,C,Medium,-1.2043764191900346,0,A,Medium,-1.438997789522379,0
0,B,Low,1.057387087066183,1,A,Medium-High,-0.7552193734434509,0,A,Low,0.26797922767991766,1,C,Medium,1.0448229200189942,1
1,B,High,-0.008699319939687802,0,B,Medium-High,0.5625445886913603,0,A,Medium,-1.729192407891235,0,B,Medium-High,0.1867571340170928,0
1,A,High,-0.651862372497766,1,B,Medium-High,-0.9819544396882203,0,C,Medium-Low,-0.8605009440811202,0,B,Medium,-1.5817931759512327,0
0,A,Medium,-0.9678766557504696,1,A,High,2.6103384846692603,1,A,High,0.9269585091963907,1,C,Medium,0.032918613533219045,1
1,B,Medium-Low,1.7304631057075999,1,A,Medium-Low,0.43626560634976164,0,C,Low,-0.054501339128810056,0,B,High,0.4620233801634029,1
0,A,Medium-Low,-0.2611419257098382,0,B,Medium-Low,1.086073854676305,0,B,Medium-Low,0.9111149232872534,0,B,Medium-High,0.2940321814900771,1
1,A,High,1.535297202452097,1,C,Low,-1.3381050504381253,1,A,Medium-Low,1.090037083576343,0,C,Medium-Low,-1.2064395062377773,1
0,C,Medium-Low,0.2246886184124806,0,C,Low,2.2963107436792685,0,B,Low,-0.2619300597641152,1,C,Medium-Low,0.7091644719146826,1
1,A,Low,-1.2134521077078844,1,B,Medium,0.9565533165197457,0,B,Medium,1.9188247499645625,0,B,Medium-High,-1.7969087906232768,0
0,A,High,-1.6981202873478567,0,A,Medium-High,0.6856536306298149,1,A,Low,0.158268003162364,0,B,Medium,-0.13667800588436682,0
1,B,Medium-Low,-0.6400821490284269,1,A,Low,-2.1733949932312386,0,C,Medium-Low,-0.9818241745544711,1,A,Medium-Low,0.46539451206085924,0
1,B,Low,2.2978023386231365,0,C,Low,-1.2337538293351176,0,B,Medium,0.4643996711090979,1,A,Medium-High,0.09287143597770497,1
0,C,Medium-Low,-2.0520557124251084,1,A,Medium-High,0.7358324553547201,0,C,Medium-High,1.2746703068562557,0,C,High,-1.3706617068288807,0
0,B,Medium-High,0.0755932033957004,1,A,Medium-Low,-0.17924579880875727,0,B,Medium-High,-0.17041786918937396,1,A,Low,2.279905413509162,1
1,A,Low,0.430594956154239,0,C,Medium-High,-1.8410725464078637,0,B,Medium-Low,-0.4255496015537173,0,B,Medium-High,0.4956225631161613,0
0,B,Medium-High,-0.3334584091797597,1,A,Low,-0.4736899979120939,0,B,Low,0.08848159689254528,1,C,Low,1.013304320496963,1
1,B,High,-1.843278233864061,0,A,Medium-High,-0.6540059985956266,0,A,High,0.3739462842746846,0,B,High,0.5507921019148422,0
0,A,Medium-High,0.052377823776625816,1,B,Medium-Low,0.7743893192542839,0,C,Medium-High,0.09341986775202692,0,A,Medium-High,-0.8136523498285951,1
1,C,Medium,-0.5834864169148397,0,A,High,0.9040931323317214,1,A,Medium-Low,-1.0939867422705303,1,C,Medium,-0.7849237371581961,0
0,A,Medium,-0.38985412044980605,0,B,Medium,-0.8866764667773087,1,C,Medium,0.24587798994022794,1,A,Medium-High,0.943920808922675,0
0,B,Medium-High,-1.3157292987993934,1,C,Medium-High,0.1112832689066258,1,B,Medium,1.5117925141890847,0,C,Medium-High,0.7658938521033559,1
0,C,Low,-0.3559846730059835,0,C,Medium-Low,-0.11030543157077823,0,A,Low,1.4046327120486513,1,C,Medium,0.6023352773382813,1
1,C,Low,0.334507973601036,0,A,Medium,-0.774495747606578,0,A,Medium,-1.2282568318900555,1,C,Medium-Low,-1.3799020706062586,0
1,B,Medium-High,-1.4246098024267144,1,A,Medium-High,1.304512575801685,0,A,Medium,-0.5779499083972576,1,C,Medium-Low,0.03134220709570649,0
0,C,Medium,0.9722790281968495,1,B,Low,0.0765376381303296,1,A,Medium-High,1.0766702087720672,0,A,Medium,-1.0949505400007549,1
1,A,High,-0.23699482517309312,0,A,Low,-0.8090505219077724,0,C,High,-0.2759683447418628,1,C,Low,0.15092184848368942,0
1,B,Medium,0.9561895613810163,1,B,Medium-Low,-1.762653366940891,1,A,Low,-1.0540461222560944,0,C,Medium-High,0.7665279023846937,0
1,C,Medium-Low,-0.04616357471989797,1,A,Medium-High,-1.2821977955842572,1,A,High,1.2947098647784099,1,B,Medium-High,-0.9677169495254536,0
0,C,Low,-0.1605999946877249,0,B,Medium,-0.2059158223831682,1,B,Medium,0.8006896235771879,0,C,High,-1.1538874572430171,0
1,B,Medium,-1.4837393261524872,1,C,Medium,-0.3438975746611403,1,A,Medium-High,0.2151805733806251,0,A,High,-0.6598794520442788,0
0,A,Medium-Low,1.7585494457595998,1,C,Medium,0.054384064437744156,0,C,Medium,2.4228158054700843,0,A,Medium-High,-0.58189279402266,1
0,B,Medium,-1.4434001605451192,0,A,Low,-0.7527476826043195,1,C,Medium,1.3761975253934509,0,C,Low,-0.3355251501112835,0
1,B,High,0.38492422903365475,1,A,High,0.34548102690282795,0,C,Medium,-1.1531320606257969,0,B,Medium,0.6501649817611004,1
0,A,Low,-0.38813443475469156,1,C,Low,0.7407473778221605,1,B,Medium-High,2.803909755780005,1,C,Low,0.7341450334127152,1
0,C,Medium,0.6915118735637417,0,B,High,1.052103747310046,0,B,Medium-High,0.5229815138721549,0,C,Medium,1.181712030241004,1
1,C,Low,0.9878453092376482,1,C,High,-1.5158841809127233,1,B,Medium-High,1.580270900930538,1,A,Medium,-1.253205816072188,0
1,C,High,-0.26270113427862457,1,B,High,0.04954404345801286,0,A,Medium-Low,-1.185274664293402,1,C,Medium-Low,-0.822762505090474,0
0,B,High,-1.3366017992622783,1,C,Medium,-2.475570397198312,0,A,High,0.4756730568373984,0,B,High,-0.8599636261149278,0
1,B,Medium-Low,-0.06095403510370506,1,C,Medium-Low,-1.2717029932515926,1,C,Medium,0.8270378397941005,0,A,High,-1.2656358735798297,0
0,A,Medium,0.3376931493267776,0,C,Low,-0.3631545850872984,0,B,Medium-High,1.289415334978662,0,C,Low,0.4814210912223756,1
0,A,Medium-High,0.3178097435704309,1,A,Medium,-1.5605326491456875,0,A,High,0.09053285661841579,1,B,Medium-High,-0.7350440764643592,0
0,B,Low,0.6202004579703516,0,C,Medium-High,-0.5035772245435696,1,C,Low,1.4363130034949323,1,C,Medium-Low,-1.2844538616711292,1
1,A,Medium-Low,-0.8438703380142598,0,A,Medium,-0.11353226019268306,0,B,Low,-0.5714351796782823,1,C,Medium-Low,0.40336300705994144,0
1,C,Low,0.38852781311782936,1,C,High,-1.4636920529543571,0,C,Low,0.8720418189344356,0,A,Medium-Low,0.043031680791669795,0
0,B,Low,-0.4549642327173052,1,B,Low,-0.14763183207648417,1,C,Medium-Low,0.4143600858743028,0,C,High,1.671587127839623,1
0,A,Medium-Low,-0.336898648387608,1,A,Medium-High,-1.3633696524569194,1,C,Medium-High,-1.5315798278381156,0,C,High,-1.5790164392020536,0
1,B,Medium-Low,-2.0385092087061136,0,A,Medium,-1.2756278837913955,0,B,Low,-0.5442961324521296,0,B,Medium-High,-0.7875317605012833,0
0,C,Medium-High,-0.18557575242075033,1,B,High,-0.04252762506942471,1,B,Medium-Low,0.3859057200883379,0,B,Low,-0.08314594747503308,1
0,A,Medium-High,-0.5160273703932867,0,A,Medium-Low,-0.12859793546167345,1,A,Medium,0.6713476323936794,0,B,High,1.3729539385706164,1
0,C,High,-0.7829660237861834,0,A,High,0.12018786260517583,0,A,Low,1.5185142368540299,1,A,Medium-High,-1.6879082210815515,0
1,A,Low,2.2419121465046454,1,A,Medium-Low,0.45693162234997675,1,A,Low,0.9983600868222553,0,B,Low,-1.2868407007667102,1
1,C,High,-0.22308225888681624,0,B,Medium-Low,0.8463216525438041,1,A,Medium,0.1859075011038174,1,C,Medium,0.36170301333801325,1
0,B,Medium-High,-2.5681813106116484,1,A,High,0.6768177646970799,0,A,High,0.5889318391622479,1,C,Low,-0.45418866816960846,0
0,A,Low,1.4258872266969584,0,C,Medium-High,0.3566939712487832,1,B,High,-1.512544767629552,0,A,Medium-High,0.6723113724729808,1
0,C,Medium-High,0.13911921557864387,1,B,High,-0.11864843824506818,0,C,Low,-0.5496504372438743,1,B,Low,-1.7576403817638078,0
0,A,Low,1.8445469887199841,1,C,Medium,0.07965109833629087,1,B,High,-2.5257164312285276,1,A,High,-0.04090576183802678,0
1,C,High,0.5305975513625382,1,C,High,0.5719704177837944,0,B,Medium,-0.5441203577848505,1,B,High,-0.596087548527566,0
1,C,Medium-Low,-0.7701243405648991,0,B,Medium-High,1.2792467684348614,0,B,Medium-High,-0.27666271781060636,1,B,Low,0.5170912562827255,1
0,A,Low,0.2444625189074807,1,B,Medium-Low,-0.773091985628438,1,C,Low,-1.6259900935145968,0,B,High,3.439455991788472,1
0,C,Medium-High,-0.4440301895283346,0,B,High,-0.48225250552200283,0,A,Medium-High,0.5163658374809788,0,A,Medium-Low,0.16130458602595588,0
0,B,Medium-High,-0.6087585616674382,0,A,Medium-High,0.7314148154038627,0,A,Medium-Low,0.05038861251075225,1,C,Medium-Low,-0.11289939927846204,1
0,B,Medium-High,0.45495949418530274,0,B,Medium-High,1.9375953401972266,1,B,Medium,-0.8983513261940705,1,B,Medium-Low,0.7526766000482622,1
0,A,Medium-Low,1.1855497249512745,0,C,Medium-High,0.5450397849861325,0,C,Medium-High,0.7625174170837231,0,C,Low,0.4018051093947768,1
1,A,Medium-High,-0.9391940407509978,0,B,High,0.013620551201987432,0,C,Low,0.8586849722467724,1,B,Low,0.5891117499771831,1
1,B,Medium,-0.02980652826783939,1,A,Low,-0.27628765084466184,0,A,Medium-Low,0.6618281420299819,0,C,High,-0.02119301545323466,1
0,B,Low,-2.3855593394163397,1,C,Low,0.9138525803381896,0,A,High,0.3672348793770347,0,B,Low,1.3591568099805915,1
1,C,Medium-High,0.051596499754865285,1,B,Low,0.22180405165315797,0,C,Medium-Low,-0.61634571581047,1,C,Medium-High,0.41310372670027945,1
1,B,High,-0.32041160257305673,1,B,High,2.35198429485362,1,C,Medium-High,0.1394037360657023,1,C,High,0.2532319737732683,1
1,A,Medium,-0.48202745606409253,1,A,High,-0.8277142546534659,0,A,High,-1.217616494496349,1,A,Medium,0.25300698670550203,0
0,A,Medium-High,-0.5750108581912595,0,C,Medium-High,-0.8284893308804554,1,A,High,-1.4607620480436565,1,A,Low,1.0259429637675213,0
0,A,Low,0.22240263382414638,1,A,High,1.8154398258603393,1,A,Medium-Low,0.49982344484162505,0,C,Medium,-1.275572242801281,1
0,A,Low,-1.3528262394134882,0,A,Medium,1.6197227875072877,1,C,High,-1.676012124485122,0,B,High,1.851582593865749,1
1,B,Medium-Low,-0.4986216618452908,1,A,Low,-0.9430966599312407,1,A,Medium-High,0.2699356130240628,1,C,High,-0.7323480067942435,0
0,C,High,-1.2884234475037377,1,A,High,-0.020650141205953206,1,C,Low,-0.8989444208615627,0,B,Medium-High,-1.024317619569405,0
1,B,Low,-0.48846361319411546,0,C,Medium,-0.9614687444902407,0,A,Medium,-0.0038442494328414685,1,C,High,0.9905482258953352,0
1,A,Medium,0.7840654011431226,0,B,Medium-High,-0.024915803801342205,0,A,Medium-High,0.8980913012112072,0,C,Medium-High,-0.009389274849776301,1
0,C,Medium-Low,1.5674712534611381,0,B,High,-0.13838856313616035,0,A,Medium-Low,0.7314269110550476,0,B,Medium,1.3031951939240918,1
0,C,Medium-Low,0.5232684902834747,0,B,Medium-High,0.8679967671965223,0,C,Medium-High,0.8457775918450241,0,A,Low,-0.18113966184412492,1
1,A,Medium-High,-0.002751909811609295,1,A,High,1.8346625717458485,0,A,Medium-High,1.1338028981054882,0,A,High,-0.7080774191983992,1
1,A,High,0.4814212360446615,0,B,Low,-0.5657186279830414,1,C,Medium,0.39441332564224885,0,B,Medium-High,0.31992544679312795,1
1,A,Medium-High,-0.11814329378579683,0,B,Medium,-1.2023674909892446,1,C,Medium-Low,-0.043083319832044505,1,A,Medium-Low,-1.1081338842032895,0
1,B,Low,-1.1067642231121682,0,C,Medium-Low,0.1890075434344593,0,A,High,-0.7295283514257125,1,B,Low,-0.022678302991817587,0
0,A,Medium,0.3294957016135877,0,B,High,-0.5360274511550766,1,B,Medium-High,-0.5488151609571083,1,B,High,-0.04101876984784576,0
1,A,Medium-Low,0.04271141232719552,1,C,Low,-0.37728465006055484,1,B,Medium-Low,0.3454247863583899,0,C,Medium-High,-0.6804335162547349,0
0,B,Medium-High,1.2086519996068306,0,A,Low,1.6907001413077891,0,A,Low,1.0713699749234016,1,B,Medium,-0.1669772822573595,1
0,A,Medium-Low,-0.6397471913969452,1,A,High,-0.3711890088981115,1,B,Medium-Low,0.5117349620271257,1,B,Medium-Low,1.069133554851292,1
1,A,Medium,1.053964518303934,1,C,Medium,-0.06521009557624229,0,C,Medium-Low,0.7664014151195531,0,C,Medium,-0.4160056275548351,1
1,B,Medium-High,0.8527297950772481,0,A,Low,1.0768636714619257,0,A,High,0.28762472981771675,1,C,Medium,0.8841806940204026,1
0,C,Low,0.01415512461435543,1,C,High,-0.596142448510183,0,C,Medium-High,-0.515925499056558,1,A,Medium-Low,-2.1588841558310463,0
0,C,Low,-0.12081941105769001,1,B,Medium,-0.349478231014313,0,C,Medium,0.3437745817508995,1,B,Low,0.5144410618386308,1
0,A,Medium,-0.28064781063143396,1,B,Low,-1.5201570730149045,0,C,High,0.9006430197863708,0,C,Medium,0.19408918725109922,0
1,C,Low,0.8583370244061109,1,A,Medium-High,-0.26261186218048715,0,C,High,-1.7842536703117042,0,A,Medium,-1.1935006271313728,0
0,B,Medium-High,-0.2812488129959226,1,B,Medium-Low,-0.47282432615009384,0,B,Low,0.11227985184493601,0,C,Medium,-0.8054696275246782,0
1,B,Medium,0.48984370206084693,0,C,Medium-Low,0.3097609842952755,0,B,Low,0.767191264268307,0,C,High,-1.0369821554006384,1
0,A,Low,-0.2546243024921774,0,C,Medium-Low,-1.756635442677536,1,A,Medium-Low,0.5810405142095124,0,C,High,-0.043638360079191585,0
0,C,High,0.5412475139175804,0,B,Medium,1.7513506654557451,1,B,Medium,0.365379193253423,0,B,Low,1.0959735655928764,1
1,B,Low,-1.197216499234882,0,C,Medium-High,-0.719110953230139,1,A,Medium,0.9223785524138765,0,A,Low,1.0283392408111218,0
0,C,Low,-1.9623559729298683,1,A,Medium,-0.6291485706767577,0,C,Medium-High,0.5544394990954843,0,A,Medium,-1.9615637077295704,0
0,B,Medium-High,0.8084699025418696,0,A,Medium-High,0.5827535046630358,0,C,Medium-High,-1.2704486568258488,1,C,Low,-1.6959433075776411,0
0,B,Medium,-1.4090044591025428,0,A,Medium-High,0.012173301739505402,1,B,Low,0.9878516380005721,0,A,Low,-0.2065913573254823,0
1,C,High,-0.035424031238674034,0,A,High,-0.15566949157582627,1,C,High,0.13630089568753556,0,A,Medium-High,0.8298468924179333,1
0,C,Low,0.20452006543466716,0,C,Low,0.24606855990176071,1,C,Medium,1.1918902150333395,1,B,Medium,1.692588947835905,1
1,C,Low,1.7322101576282822,1,B,Medium-High,-1.1272639338019959,1,C,High,1.1947999314916722,0,B,Medium-High,1.9024530953800844,1
1,C,High,0.051555355191919235,1,A,High,-1.1734362800099736,1,A,Medium-High,1.611592503080944,0,B,High,1.2009990086135065,1
1,A,High,-0.7404368468034374,1,B,Low,0.0917514659462584,0,A,Medium,0.015349774112005651,0,C,High,1.2455726156637315,1
1,C,Low,0.45634326512676354,0,C,High,0.4297506245440247,0,A,Low,-0.7040883072545733,1,C,High,0.7042936515537709,1
1,B,High,-1.1210447663969838,0,B,Medium,-1.6212598866979084,0,B,Medium,-0.17907065633006272,0,A,High,-1.2478538291206371,0
0,A,Medium-High,1.054510393605095,1,A,Medium-Low,-3.4442436115127686,0,A,Medium-High,-1.5865921676014345,1,C,High,-1.0173859510880459,0
0,C,High,1.9089846718023629,0,C,Medium-High,0.15758892600380744,0,A,Low,1.225478510967412,0,C,Medium,2.407730270937026,1
0,C,Medium,-0.5902141684481415,0,A,Low,0.6006110842786297,1,B,Medium,0.2648473705730178,0,A,High,-0.4679816974050787,0
0,B,Medium-High,0.008606278119409297,0,C,Medium-Low,-1.1233137230533052,0,A,Medium,0.18131153173226086,1,B,Medium-Low,-0.8579476661908944,0
1,C,Medium-High,-0.35256161558849647,1,B,Medium-Low,0.9218947998929887,0,C,Medium,1.885225774724021,0,C,Low,0.37796074213003683,1
1,B,Medium-High,-0.6813869252125807,0,B,Medium-High,3.190612376087078,1,A,Low,-0.9817690376429125,0,C,Medium,0.6572751785019302,1
0,B,Medium-Low,-0.005036010117224676,0,B,Medium,1.1038604068316709,1,A,Medium,0.17350275421953334,1,B,Low,-0.660707718500955,1
0,A,High,-0.09487378981790372,0,A,Medium-High,-0.7770474656751413,1,C,Medium-High,-0.42314308549948376,0,C,Medium-High,-0.16735330930318748,0
0,C,Medium,-0.10648798763389802,1,C,Medium-Low,-0.7720686348750563,1,A,High,0.5690324458317912,1,B,Medium-Low,0.5149267993768594,1
0,C,High,1.2784069908807634,1,B,Low,-1.2904447142444602,1,C,High,-0.1870605291352889,0,A,High,0.5351721381896031,1
1,B,Medium-Low,-0.6914502891646868,0,A,High,-0.5913450783776205,1,A,Low,0.09565606948500124,1,C,Medium,2.387588009249504,1
0,A,Low,-1.5860371622427984,0,C,Medium-High,-1.6144723966656294,0,A,Low,0.9973605313737162,0,C,Medium-High,-1.0150680484990071,0
0,A,Medium-Low,-0.6261906330916074,1,C,Low,-0.1563395423034806,1,A,Medium-High,0.032025957157623054,1,C,Medium,-0.3689214461330556,0
0,C,Low,-0.320075536679202,1,B,Medium-Low,-0.5418493193552615,0,A,Medium-Low,0.1581383861026139,1,C,Medium,-0.4485305250280856,0
0,C,Low,-0.0779853085289823,1,A,Low,-0.031314618653682146,0,B,High,0.899443087742935,0,C,Medium-Low,1.5701226068004224,1
1,A,Medium-Low,-1.3822238875035786,1,B,High,-1.1274298083011385,0,B,Low,1.750370420137221,1,C,Medium-High,1.4775581091315428,1
0,A,High,-0.5476518935929835,0,B,Medium,-0.42566566146752066,1,B,High,-0.36887206181922483,1,B,Medium,0.3609028510427091,0
1,C,High,-1.0853462834589986,0,A,Low,-0.6746435234930135,1,B,High,0.3188097086225698,1,A,Medium-Low,-0.6478442987584178,0
1,A,Medium-Low,-0.3976316896964263,0,A,High,-0.9543804225584385,0,C,Medium-High,-0.9479927646751425,1,A,Medium-High,-0.24099014940848998,0
0,C,Medium-Low,0.7944360040869259,1,A,Medium-Low,0.49474387174270734,0,B,Low,-0.06289204099230886,0,A,Medium-High,2.225627281092207,1
0,B,Medium,0.39476539376449654,0,A,Low,1.5126670521730328,1,C,Medium,0.6610116523052068,1,B,Medium-Low,-0.5457608921947597,1
0,C,Low,0.7873858514878946,0,A,Low,-1.8095588776119877,0,B,High,0.642248031175812,1,A,Low,2.230204484718731,1
0,B,Medium-High,0.749573129938401,0,B,High,-0.03341277677646847,0,A,High,0.5669421292594916,0,B,Medium,0.547740323349236,1
1,A,High,0.6144389531028037,1,A,Medium-High,0.4196530690827915,0,A,Low,1.7311157678268247,1,A,Medium-Low,0.15601708480532855,1
0,A,Medium-Low,0.5767638444875757,1,C,Medium,-0.31103290504829806,0,B,Low,0.028448124460861562,0,C,High,0.42623273747050183,1
1,A,High,0.11725884912031798,0,C,Medium-High,1.0780237864672837,0,C,Medium-Low,0.9183376501461719,1,C,High,-1.0409811086389564,1
0,C,High,0.4087017092178894,0,B,Medium-Low,-0.8243858849465112,1,A,Medium,1.106502500153327,1,C,Medium-High,0.3939397350183737,1
0,B,High,0.9105671219285757,0,B,High,0.39421182579583874,1,B,Medium-Low,-1.295191585676724,0,A,Medium-Low,-2.52975366591736,0
0,C,High,-1.0703355032890316,1,A,Medium-High,0.9539250337505027,0,B,Medium-High,0.9157339144762414,1,B,Medium-Low,1.8833649656686187,1
1,B,Medium-High,1.1041962238774088,1,C,Medium-High,0.14526493069959764,0,C,Low,-0.15490157931676432,1,C,Medium-Low,-1.2835499562959212,0
1,B,Medium-Low,0.7260007941001672,0,B,Medium-Low,-0.21056358905453051,1,B,Low,-0.5322615682396487,0,C,High,-0.42917870596786195,0
0,A,Medium,-0.2129630456977467,1,B,Medium,0.5791212406764333,0,C,High,0.771930097417568,0,A,Medium,1.4936981064607546,1
1,B,Medium,0.8166051281971987,1,A,Medium-Low,-0.020575275329313032,0,B,Medium-High,-1.7630987460552412,0,A,Medium-High,0.8325818173811882,0
1,A,Medium-High,0.6090793643048479,0,C,High,0.8967919126805268,0,A,Low,0.022891057557851067,1,B,Medium-Low,0.9861175391497481,1
0,B,Low,0.2734920219002826,1,A,Low,-0.5008071582901363,1,A,Medium-Low,-0.7033585306972303,1,B,Medium,-2.0636191848046583,0
0,C,High,0.4454933026139558,1,B,Medium,1.058900510800153,1,B,Low,0.43475431234968115,0,C,Medium-High,-0.4780002038342584,1
0,A,Medium-High,-2.1341269073132554,1,C,Medium-High,-0.8664833412011725,1,A,High,1.5565423256738666,1,C,Medium-High,0.3991665209956047,0
1,C,Medium-High,1.5948826255451498,0,B,Medium,0.2954376303533325,0,B,High,-0.10810613035884266,1,B,High,1.5832745930445926,1
1,C,Medium-Low,-0.5941591858567743,0,A,High,-0.49148502357625495,0,C,Low,-1.188169526826422,1,A,Medium,-1.5714986565490943,0
0,C,High,-0.9787491732501996,1,A,Medium-Low,-0.8417492917737067,0,B,Low,-2.900899260959377,1,B,Low,-0.44893799731156797,0
