Obj1_Feature1_binary,Obj1_Feature2_nominal,Obj1_Feature3_ordinal,Obj1_Feature4_numeric,Obj1_Feature5_binary,Obj1_Feature6_nominal,Obj1_Feature7_ordinal,Obj1_Feature8_numeric,Obj1_Feature9_binary,Obj1_Feature10_nominal,Obj1_Feature11_ordinal,Obj1_Feature12_numeric,Obj1_Feature13_binary,Obj1_Feature14_nominal,Obj1_Feature15_ordinal,Obj2_Feature1_binary,Obj2_Feature2_nominal,Obj2_Feature3_ordinal,Obj2_Feature4_numeric,Obj2_Feature5_binary,Obj2_Feature6_nominal,Obj2_Feature7_ordinal,Obj2_Feature8_numeric,Obj2_Feature9_binary,Obj2_Feature10_nominal,Obj2_Feature11_ordinal,Obj2_Feature12_numeric,Obj2_Feature13_binary,Obj2_Feature14_nominal,Obj2_Feature15_ordinal,Collision
0,C,High,-0.13961943718776326,1,C,Medium-High,-0.17540284688460941,0,A,Low,-0.7255502152923579,0,B,Medium-Low,1,C,High,0.2291709265259621,0,C,High,-0.4118035233267765,1,B,High,-0.12491838505009416,0,C,Medium-Low,0
1,C,Low,1.1028907690070082,0,B,Medium-High,2.7462283131442566,0,C,Medium-Low,-0.30464982173684363,1,C,Medium-Low,1,B,High,0.22287378198713942,0,B,Medium,-1.273946617374409,1,C,High,0.04467444204568479,0,C,Medium,1
0,B,Medium-High,-0.6167672893484302,1,C,Medium-Low,-0.38803792086559663,1,C,Medium-Low,1.1411310987689645,1,C,High,0,A,Medium-High,1.25910641655646,0,A,Medium-Low,-1.1833620329779464,1,C,Medium,-0.42985392101874736,1,B,Medium-Low,0
0,C,Medium-High,-1.39375675121364,0,C,Medium-High,-0.18379561399264466,0,B,Medium,-0.6287055826288025,1,C,High,1,A,Medium-High,0.5346743786046065,1,C,Medium,0.6203555362426717,1,A,High,0.5296165497202947,0,B,Low,0
1,A,High,1.7979083097926731,1,B,High,1.3708818249835915,0,B,Low,-0.12115987752240745,1,B,High,1,B,Medium-High,1.2785465692772846,0,B,Medium-High,-1.1289980792673755,1,C,High,1.8482108271955626,1,B,Medium-High,1
0,A,High,-0.5834802269105929,0,C,Low,1.3957622022288267,0,C,Medium,0.7720979655635318,0,A,Medium,0,B,Medium-Low,-0.9720905097064468,0,C,Medium,-0.77391764978376,1,A,Low,1.1014780649517157,0,C,Medium-High,1
0,B,High,-1.801296543142271,1,C,Medium-High,-0.1569710975960362,1,B,Low,-0.20945003493112097,0,C,Medium-High,0,B,High,-1.7886587591393461,0,A,Low,2.645629513979462,1,A,High,-0.13443637631476843,0,B,Medium,0
1,A,High,-0.7769500344557163,1,B,Medium,-0.5964204260535108,1,A,Medium-Low,1.026624189447934,1,B,Low,0,A,Medium-High,-1.02047463789762,1,B,Medium-Low,-1.2340487720440194,0,A,Medium-High,-1.1720071388303097,1,B,Low,0
1,A,Medium-Low,-0.5432865060464849,0,B,Medium,0.0348164711647049,0,C,High,0.6180937693895004,1,B,Low,0,A,Low,-0.13334681042041122,0,B,High,0.5312271955375354,0,B,Medium-Low,0.11301984315868757,0,B,Low,1
1,C,High,-0.2747177080754722,0,B,Medium-High,0.3766822447164993,0,C,Medium,0.7020933564504119,0,C,Medium-Low,1,A,Low,-0.24611836781417315,0,A,Medium,-0.4807687209287581,1,C,Medium,-0.5470998296246538,1,B,High,0
1,A,Medium,0.5098260777267506,1,C,Medium-High,-0.41790114491561603,1,A,Medium-Low,0.2553486979853351,0,C,Medium-Low,1,A,Medium-High,-0.6449794087088951,1,C,Medium-Low,0.7367768185712817,1,A,Medium-High,0.21941214067592577,0,A,Medium-Low,1
0,A,Low,-0.2836531697368221,1,C,Medium-Low,1.082274407944054,1,C,Medium-Low,0.4053777257879568,0,A,Low,1,B,Low,-1.6895999041026404,1,B,Medium-High,-0.6071696285642864,0,B,Low,0.29814966332404413,1,C,Medium-Low,0
1,A,Medium-High,0.8028848566152067,1,C,Medium,-1.52350877424691,0,B,Medium,-1.0356252728662891,1,A,High,0,C,Low,0.5031295124218523,0,A,Medium-High,-0.42278935267853895,0,C,Low,-1.2035832199726548,1,B,Medium-Low,0
1,B,Low,1.5869701403640026,1,B,Low,1.7883488472056974,0,A,Medium,-0.4206717280226491,0,A,Medium-High,0,B,Medium-High,1.2181572306894162,1,C,Low,-0.03258669964738187,1,A,Medium,-0.21001184286081778,1,A,Medium,1
0,B,Medium-High,-0.5335235795993425,0,C,Medium,1.4074132458305366,1,C,High,1.0427324852328594,1,C,Medium-Low,1,C,Medium,-1.895857061610673,0,C,High,-0.44067347483528796,0,A,Low,-0.3654788122810726,1,C,Medium-High,0
1,C,Medium,-0.4231397696912631,0,A,Low,1.3994205330534646,0,A,High,0.6646496618124834,0,A,Low,0,A,Medium-High,-1.3407400107433527,0,A,Medium-Low,0.8309357302218396,0,A,Medium,0.4502756261057126,0,A,Medium-High,1
0,A,Medium-Low,0.734944663926966,1,B,Medium,2.429640217030913,0,A,Medium,-0.43402961842124926,0,B,Medium,0,B,High,-1.0879373440174427,0,A,Medium-Low,-0.2742806130688884,1,A,Low,-0.2745820921108841,1,C,Low,1
1,A,Medium,-0.19560438257199309,0,C,Medium-Low,-0.21393721152057604,0,A,Medium-Low,-1.020574625775441,1,A,High,1,A,Medium-Low,0.09097803412200212,0,A,Low,0.5861749402823972,1,C,Medium-High,-0.16881647175401684,1,A,Low,0
0,A,Low,-0.28291749853708537,0,A,Medium-Low,2.314214939308423,1,C,Low,-0.10872108872030063,1,C,Medium-Low,0,B,Medium-Low,-0.703718449679458,1,C,High,-1.6454032953451583,0,C,Medium,2.012236679923253,0,C,Medium,1
1,A,Medium,-0.28249865837790017,0,A,Medium-High,0.031796264577086765,1,A,Medium-Low,0.46449267578757436,0,A,Medium-High,0,B,Low,0.5109484539066534,0,B,Low,-0.4191658788892331,0,A,Low,-0.3719967579299987,0,B,High,0
1,B,Low,1.298008117036601,0,C,Medium-High,-2.449721339518122,0,A,High,-0.5266806334238533,0,C,Medium,0,A,High,-0.8424312699221447,0,C,High,-0.010396643160063878,1,C,Low,-0.40377166450580937,0,C,Medium-Low,0
0,C,Medium,-0.28187656502894554,1,C,Low,0.038412277256409603,0,C,Medium,0.6308159064374032,1,C,Medium-Low,1,C,Low,0.04528456997434317,0,A,Medium-Low,-1.220453984869609,0,B,Medium,-0.6315415458479327,1,B,Medium,0
0,A,Medium-High,-0.5005520156313289,1,C,Medium-Low,0.3501330609854243,0,C,Medium-High,0.9594773710399879,0,C,Medium-High,0,B,Low,-0.6790977533535001,0,C,High,0.15256468174928886,1,B,Medium,-0.03808036559489919,0,C,Low,1
1,C,High,-1.4029857594717443,0,A,Low,0.9800633166835783,1,C,Medium-High,1.4520265808381274,0,A,Medium,1,C,Medium-High,2.0201051820358478,0,C,Low,0.16021303152591768,1,A,Medium,0.1622571501474088,1,B,High,1
1,C,Medium-High,-1.6079267373102988,1,B,High,0.12717887670838574,1,A,Medium-High,1.1328191080055943,1,C,Medium-Low,0,B,Medium,0.7529900485560462,1,C,Medium-Low,0.8105757799338638,1,A,High,0.43254653518300734,1,C,Medium-High,1
1,C,Medium-High,2.265122643612842,1,A,Medium-High,0.2922085474591724,0,C,Medium-Low,-0.4809126699938596,0,B,Medium,0,B,Medium-Low,0.2097998115162317,1,B,Medium,-0.9385735754234134,1,B,Medium-High,0.08576731621834477,0,B,High,1
0,B,Low,0.5964478977028467,1,B,High,0.15636147263080186,1,A,Low,-0.5790538518105731,1,A,Low,0,B,Low,-0.46614695168161735,0,C,Medium-High,1.404381613791316,1,B,Medium-High,0.7454383402268757,0,B,Medium-High,1
1,B,Medium,1.2204073595934182,1,C,Medium-High,-0.7601317320267265,1,A,Medium,-0.3205914137806027,1,B,Low,1,B,Medium-Low,-0.35675196788003194,0,A,Low,-0.10960517340529916,0,C,Medium-Low,0.5330363056084738,0,A,Medium,1
0,C,Medium-Low,-0.5439296383249053,1,C,Low,0.40568932187090956,0,B,Low,1.7113884735815246,0,A,Medium-High,1,C,Medium-Low,-0.36346568732350215,1,C,Medium-Low,-0.3446501026773118,1,C,High,-1.8506489541994553,0,A,Medium-High,0
0,C,Low,0.9961451553762,1,C,High,-0.1694310521928,0,B,Medium-Low,1.6921675338801754,0,B,Medium,1,A,Low,0.4981825532911714,0,A,Medium-Low,-0.30350430933168115,1,B,Medium,0.21469387759138214,0,A,High,1
1,A,Medium-High,0.4562945253784998,1,A,Medium,-0.5678620348142768,0,A,Medium,-0.7849534580665418,1,A,Medium,0,B,High,-0.4387798848411669,1,B,High,-0.061236528147331645,1,A,Medium,-0.2833172309969913,0,A,Medium,0
1,C,High,-1.7471937676059532,1,B,Medium-High,0.15201822531704584,0,A,Medium,1.6397974580386536,1,B,Medium-High,1,B,High,-1.1705382702418683,0,C,Medium-Low,-0.6132293112897766,0,A,High,-0.643611743381297,0,B,Low,0
0,B,Low,1.4321454311633903,1,A,Low,-1.2195522938591548,1,A,Medium,0.9310173468234002,0,A,Medium,0,B,Medium-Low,0.33024042760668976,1,B,Medium-High,-0.8515727582313996,0,A,Medium-High,-0.6788714850410322,1,C,Medium-Low,0
1,B,Medium,1.7538719494514596,1,C,Medium-High,0.2685477713514893,1,B,Medium,0.046450827487669676,1,B,Medium-High,1,B,Medium-Low,0.6529336265664291,0,C,Medium-High,0.37679496530453555,1,B,High,-1.2409473969083435,1,A,Medium,1
0,A,Medium-High,0.9658866362255715,1,A,Medium,-0.929991063718645,0,C,High,2.1931780071766798,0,A,Medium-Low,1,B,Medium-High,-0.46652054405859905,1,B,Medium-High,0.1858991525980027,0,C,Low,-0.981446572063976,0,B,Medium-High,1
1,A,High,0.6150695926523627,0,C,Medium-High,-0.6350484394001462,1,B,Low,1.410276040400967,1,A,Medium-Low,1,B,Medium,-0.7810893635554743,1,B,Low,0.21073892813638467,0,B,Medium-Low,-0.09737205948389652,1,B,Medium-Low,1
1,C,Medium-High,0.06668006406827812,0,B,Low,-1.4870602424717192,0,A,Low,-0.5905101334214269,1,A,Medium-Low,0,C,Medium,-0.23092427318626624,1,A,Medium,1.2452607431921139,1,A,Medium-High,-0.1542366726732963,0,A,Low,0
1,B,Medium,-1.6817720762080028,0,A,High,0.9629786061371467,1,B,Low,0.21813401319364778,1,A,Medium-Low,0,B,Medium-High,-0.42174170730830407,0,A,Medium,0.7774820719920318,0,A,Medium-Low,0.17009827720226425,1,C,Low,0
0,C,Medium-Low,0.048137074870461344,0,B,High,0.03263000110010789,0,C,Medium-High,0.36600367897263186,0,C,Medium-Low,1,C,High,1.9720594702155976,0,B,Low,-0.13543119217880054,0,A,Medium-High,0.29958240388135127,0,C,Medium-High,1
1,B,Medium,1.131609168300183,1,B,Medium-Low,-0.25581615456573054,1,B,Medium,1.1285393835555342,0,B,Medium,1,A,Low,2.1178674167289087,1,A,High,0.410148923478912,0,A,Medium-High,-0.587417697778902,1,C,Low,1
0,C,High,-2.135819876902909,0,C,Medium-Low,0.001027997944524519,0,C,High,0.12252100781713292,0,B,High,1,A,High,-1.7852196011932981,0,A,Low,-1.2042600800302945,0,A,High,-0.15388085005707508,1,A,Medium-High,0
0,C,High,1.18099503346136,1,C,Low,1.7015036783257795,0,C,Medium-High,-0.7339412834907794,1,A,Low,1,C,Low,-0.9043371688703598,1,A,High,1.692141567220277,0,C,Medium-High,0.45871241747525077,0,C,Low,1
1,A,High,0.17415812058902333,0,A,Medium,-0.14990747511781427,0,A,Medium-High,-0.7634794124892529,1,A,Medium-High,0,A,Medium,0.07414044024432884,0,A,Medium-High,-1.0978004085329358,1,C,Medium,-0.40263262401231925,1,A,High,0
0,A,Medium,-0.5677999940468674,0,C,Medium-High,-0.017282941425878048,1,B,Medium,0.4152723777416906,1,C,Low,0,C,Medium-Low,-1.4879545839855768,1,A,Low,0.6086888281496801,1,C,High,-0.29304366944304183,1,A,Medium-High,0
1,A,Medium-Low,0.5850885579149604,1,A,Low,-0.22496824229584164,1,B,Low,1.0766172981841937,1,B,Medium-Low,1,C,Low,0.15481160166348523,0,A,High,-0.299371156517541,1,B,Low,0.7301083419090589,1,A,Medium-Low,1
0,C,Medium-High,0.7026142105765094,1,C,Medium,0.6093089491203189,0,A,Medium,0.4158529291301103,1,B,Medium,0,B,High,1.0237693487871906,0,A,Low,0.4615867299532796,0,C,High,-0.9595101641829928,1,B,High,1
0,A,Low,0.14446063775171758,0,C,Medium,0.8736344325170763,1,B,Low,-0.4666996151516136,1,C,Medium-Low,1,A,Medium-Low,1.2630918311887047,1,B,Medium-Low,0.008426096403216735,0,B,High,0.6130086136576197,0,A,Medium,1
1,A,High,-1.1865384625944346,1,C,Medium,0.5327469642561267,0,B,Medium-Low,0.9665454800596026,1,C,Low,0,A,Medium-High,-0.4477882320592936,0,C,Low,0.08962573890337819,0,C,Medium-Low,-1.1166802875353763,0,C,Medium-High,0
0,C,Medium-Low,-1.9113799516119132,0,A,High,1.3939209118536107,0,C,Medium-Low,0.6093698711764776,0,A,Medium,1,C,Medium-Low,0.7685799479675108,1,B,Medium,-0.9446515822576034,0,C,Medium-Low,-0.25121221747015005,0,C,Low,0
1,A,Medium,-1.2730666082995872,1,C,Medium-High,1.3004208803548567,0,B,Low,0.21859323919650395,1,C,High,1,B,Low,0.6901455243992497,0,B,Low,1.3075039244496969,1,A,Medium-Low,0.20459488172728302,0,A,Medium-Low,1
0,C,Medium-High,2.1290204042195704,0,A,Low,1.2663344001575836,1,B,Medium-High,-0.53295699140524,0,A,Low,0,A,Medium-Low,0.5771618952116283,1,A,Medium,-1.4041072698479629,1,B,Medium,-0.6401792971030605,0,B,Medium-High,1
1,B,Medium,1.6478369255903558,1,C,Low,-0.3869974896488932,1,A,Low,0.23009164752018602,0,A,Medium-High,0,A,Medium-High,-0.6353569876606374,0,C,Medium-High,0.13340595059640636,1,A,Medium-High,-0.20106306897796097,0,A,Medium-Low,1
1,B,Medium-High,-1.5138106849431094,1,C,Medium,-1.1362811453311752,0,C,High,-0.6033892886443349,1,A,Medium-Low,0,A,Medium,0.3794188174953,1,B,Medium-High,-0.28691991958574553,0,C,Low,0.12012859373098031,1,B,Medium-High,0
0,B,Medium,-1.6001444882574325,0,C,Low,-0.20115966853521192,0,B,Low,0.698438299943798,0,B,Medium-High,1,B,High,-1.2985520679576021,0,B,High,-0.7683519256381464,0,B,Low,-2.0665618678627204,0,C,High,0
0,A,Medium-Low,-0.716843572381439,1,B,Low,-0.06376651785631826,1,B,Medium,0.7187955398682904,0,A,Low,1,C,Low,0.8440965351066376,0,C,Medium-High,0.9544257016430119,1,C,Medium-High,0.20211102188691385,1,B,High,1
1,B,Low,-1.8672710336035663,1,C,Low,-0.82574064631697,1,B,High,-0.7700608036306025,0,B,High,0,B,Medium-High,-0.49212622468141615,0,A,Medium-High,-0.2709718806607119,1,C,Low,0.38135429292631695,1,B,Medium,0
0,B,Medium-High,-0.12649879551761173,0,C,Low,1.051705961355491,0,C,Medium,-0.9701621871027006,1,B,Medium-High,0,A,High,-1.1254349108346462,0,C,Medium-Low,0.6532086373286555,0,A,Medium,-0.01877914463421975,1,C,Medium-Low,0
0,B,Medium-High,-1.0407259380754437,1,B,Low,-2.2116755234442804,1,C,Medium,0.614400346239998,1,B,Low,1,A,Medium-Low,1.4220013916766459,0,C,Low,-2.604372562241202,0,B,Medium-Low,-0.07317198768731492,0,B,High,0
1,A,Medium-High,-0.9027006180681363,1,C,Medium-High,-2.108204779286044,0,C,Low,-0.2710114766044065,1,A,High,0,B,High,-0.1074569796161387,0,B,Medium,0.5648980181788357,1,B,High,-0.5789575404941752,0,B,Medium-Low,0
1,B,Medium-Low,0.7315104527566969,0,B,Medium,-0.5002482487734319,0,A,Medium-Low,0.28732159595026424,1,C,Medium-Low,0,C,Medium,-1.365803475115874,1,B,Medium-High,-0.3372874090944168,1,C,Low,-0.7608422770698311,1,C,Medium-High,0
1,C,Medium-High,-1.021620550774634,0,B,Medium-Low,-1.397334976587078,1,B,High,-0.8022915866936675,1,A,High,1,A,Medium-Low,0.5116444379997538,0,B,High,0.8210161779853382,1,A,Medium,-1.5180800937395136,0,C,Medium-High,0
0,A,Medium-Low,-1.0895808427089286,1,B,Low,-0.22291722795746152,1,A,High,0.31343809765267727,1,B,Medium,0,A,High,0.9261878074077332,1,B,Medium-Low,0.15256588887601943,1,C,Medium,-0.2006361041568835,0,B,Low,0
1,A,Low,1.1589313458041706,0,A,Medium,-0.17418385702658845,1,A,Medium,0.4343203315736483,0,A,Low,1,C,Low,-1.2562444693761592,1,C,Medium-Low,0.17170908876748062,1,A,Low,0.5210599965562334,1,A,Medium-Low,1
1,B,High,1.4801610900215478,1,C,Medium,0.2726514970627774,1,A,Medium-High,-0.7589100799353079,0,A,Medium,0,C,Medium-High,-0.14703084810535771,1,C,Medium-Low,-0.5585262695452624,1,C,Low,-0.6521259597187679,0,C,High,0
0,B,Medium-High,-0.22839802172621548,1,A,Medium-Low,0.45368342241918674,1,C,Medium,-0.3477393243644748,0,A,Medium-Low,1,B,High,-0.7793113624505176,1,C,Medium-High,2.411664934173617,0,C,Medium,0.7595777734556475,0,A,Medium-High,1
0,B,Medium-High,-0.4925760040034204,0,C,Medium-Low,-2.0581452411931243,1,A,Medium,0.5278625987355973,1,A,Medium-High,0,C,Medium,1.1196734546298701,0,C,High,1.1773706757429572,1,C,Medium-High,0.9322922722650426,1,A,Low,1
1,B,Medium-Low,-1.4053266985206652,0,B,High,-1.2242851546795837,0,B,Medium,0.17039708033477638,0,B,Medium,1,B,Medium-Low,0.25795402445832977,0,A,Low,-0.29788945372451636,0,B,Low,0.4616446927237004,1,B,Medium,0
1,C,High,0.9016638602612379,0,C,Medium,1.0362973875066401,1,B,Medium-Low,-0.004877965234694603,1,C,Medium-High,0,B,Low,0.31511827606686715,0,C,Medium-Low,0.19729673567989858,1,B,Medium-Low,-0.7048763676300215,1,C,Medium-High,1
1,B,Medium-High,-0.5961446634712849,0,C,Medium,-0.5181958989372307,1,C,Low,0.6146036398491401,1,B,Low,1,C,Medium,-0.32272128929083127,0,C,Medium-High,0.5298458116253636,0,A,High,0.12338427988290444,1,C,Medium-High,0
0,C,Low,0.11362752876520514,1,C,Medium,-0.4287377231392535,1,A,Medium-Low,-0.3774682794238353,0,B,Medium-High,0,C,Medium-Low,1.5248776833534805,1,B,Medium-Low,-0.28664366493058574,0,A,Medium-High,0.502910651878498,1,B,Low,1
0,B,High,-1.3043830149484317,0,A,High,0.3935127523656628,0,B,Medium-Low,0.05972454692289062,1,B,Medium,1,A,Medium,0.20605085891422348,0,A,Medium-High,-1.8208523334481024,1,A,High,-2.154763571117295,1,B,Low,0
1,C,Medium-High,1.2830470980399928,0,B,High,0.48486483842897793,1,A,High,1.4638259007944787,0,A,Medium-High,1,A,Medium-High,-3.7385404214465865,0,C,Low,-0.39181938156015117,1,B,Medium-Low,-0.6180544755225587,1,C,Medium-High,0
1,B,Medium-High,0.08398170884310299,1,A,Medium,-0.9835242369697828,0,B,High,2.4275313809237513,0,A,Medium,1,C,Medium-Low,0.14398119776412063,1,B,Medium-Low,-0.2667595716066184,1,C,High,0.7784524511656076,1,A,Medium-High,1
1,A,Medium-Low,-0.502882148165479,1,B,Medium-High,0.04633210976398238,1,C,Medium,0.4828214241039831,1,B,Low,0,B,Medium-High,0.12012520085503069,1,C,Medium-Low,0.3252583718139976,0,B,Medium,1.1576820595615422,1,A,Medium-High,1
0,B,Low,0.0483319812488486,1,A,Medium-Low,0.1071220640599336,1,B,Medium,-0.5983525232682471,0,A,Medium-High,1,A,Medium,-0.21609459537250555,1,C,Low,-0.8628622764758193,1,C,Medium-High,-0.1980752823905484,1,B,Medium-High,0
0,C,High,-0.611254201204269,1,B,High,-0.23151122074246022,1,C,Medium-Low,-0.6397168088365245,0,C,Low,1,A,Medium-Low,0.26485243069535236,0,C,Medium-Low,0.37833664638410835,0,A,High,0.39013110588450484,0,C,Medium,0
0,A,Medium-Low,-0.9262083626174806,0,B,Low,1.2737083783044176,1,A,Medium,0.13172433772015713,1,B,High,1,B,Medium-High,-0.7828580145409044,0,C,High,1.8248664183857846,1,C,High,0.5477029722749407,0,C,Low,1
1,C,Medium,-0.4722876875249651,0,A,Medium,1.0592581271579031,1,C,Medium-High,-0.38116695749394564,1,C,Medium-High,1,A,Low,-0.2627471779705701,1,A,Medium,-0.05625020471024763,0,A,Medium,-0.9096367973343146,1,C,Medium-Low,0
1,B,Medium-Low,0.5546316098460253,1,B,Medium,-1.0370853063338494,0,B,Low,-0.9879537558960353,0,C,Medium-High,1,C,Medium,-1.1875488357220694,0,B,Low,1.8914674094141743,1,A,Medium,1.0649618607407596,0,C,High,1
1,B,Medium,0.4280460664672881,0,C,Medium,-0.5261484103583796,1,B,Medium,0.3721000320658836,1,B,Medium-Low,0,B,Medium-High,1.7914399861312784,0,A,Medium,-0.7581543339779859,1,A,Medium-High,-0.054642330339002496,1,C,Medium,1
0,A,Medium-Low,-0.6317126818397455,0,A,High,0.15229447543783525,1,A,Low,-0.09386500624316663,0,C,Medium-Low,1,C,Medium,1.1119356478214593,0,C,Medium-Low,0.6439261075802019,1,A,Low,-0.5889894109381042,0,C,Medium,1
1,C,Medium-High,1.289665522886729,0,A,Medium-High,0.22090801405991478,0,B,Medium-High,-0.15576273934263735,0,C,High,1,B,Medium-High,1.000256805832308,1,A,Medium-Low,0.052139481266905964,0,C,Low,1.4945962702563567,0,A,Medium-Low,1
1,B,Medium-High,-1.279013465092796,0,B,Medium-High,0.14091612922460964,1,B,Medium-Low,1.9838622766041554,1,A,Medium-Low,0,C,High,1.0041267368334672,0,A,Low,0.7575899695588325,0,B,Medium,-1.498696732581598,1,A,Medium,1
0,A,Medium-High,0.7270011113597603,1,A,Medium,-0.07251080189369417,1,C,Medium-Low,0.5053490903301261,1,A,Medium,0,B,Medium,1.6751806201412203,0,B,Medium,1.0769547218551612,0,C,High,-1.8199617842331892,1,B,Low,1
1,A,Medium-Low,-0.18108579544471679,1,B,Medium-High,2.0982308580857167,1,A,Low,-0.24632680279905161,0,A,Medium-High,0,A,Medium-High,0.9333578899781801,0,C,Medium-High,0.2266916248651223,1,C,Medium-Low,1.9151348093935043,1,A,Medium,1
1,C,Low,-1.0175548375711636,1,B,Medium-High,0.5371614293366724,0,C,Low,0.21239482561739295,1,C,Medium-Low,0,B,Low,0.9851786696629066,0,A,High,-0.14612552909329818,0,C,High,-1.450910803943528,0,C,Medium-Low,0
0,B,High,-1.8665023989835834,1,C,Medium,-0.8781898310896092,0,B,Low,-0.17679930222928145,1,A,Medium-High,0,A,Low,-0.10054963658164512,1,C,Medium-High,0.2950480725839725,1,A,Medium-Low,-1.0676431308955796,0,C,Medium-High,0
0,B,Low,-0.8159972616842294,1,B,Medium,1.285142795127082,1,A,Medium-Low,0.8867271540532701,1,A,Low,1,A,High,-1.8113660367120308,0,C,High,-2.8508385555842435,0,C,Low,-0.7010640081074817,1,B,Low,0
1,A,High,-1.7613285900232742,0,C,Medium-Low,0.7612522800768244,0,C,Medium-High,-1.117620475122068,1,B,High,0,C,High,0.2971491193914092,1,A,Medium-High,0.08300016961544786,0,A,Low,1.0997106281750992,1,B,Low,0
1,C,Medium-High,0.49708932382501514,0,B,Low,1.0872986436876546,1,C,Low,-0.8973884794082743,1,B,Medium-High,1,A,Medium-High,0.6450077486455372,1,B,Low,0.2828052028012225,1,A,Medium-Low,2.1649793954431256,0,C,Medium-Low,1
1,A,Medium,0.6977868927858133,1,B,Medium,1.893234441580667,1,B,Medium-Low,1.7367338459848745,0,C,Medium-Low,0,C,Medium-Low,0.7719481863917751,0,C,High,0.717714444364519,0,A,High,-0.2585774784131944,0,C,Low,1
1,B,Medium-High,-0.2800106246163053,0,C,Medium-High,-0.37566826383498564,0,C,Low,1.7199044251386988,0,B,Medium-High,1,A,Low,0.9013997294463207,1,A,Medium,0.1052862686811652,1,C,Medium-Low,1.3830259573158905,0,B,High,1
0,C,High,0.5183292801982691,1,A,Low,-0.4296548973189214,0,A,High,0.7455885445668168,0,C,Medium-High,1,B,Low,1.2296631092357708,1,A,High,-0.47117398300030605,1,B,Medium-Low,0.8073169080998747,0,A,Low,1
1,B,Medium,-0.3530498798727073,0,A,Low,1.2177573472869618,0,B,High,-2.3354961053942627,1,B,High,1,C,Medium-High,0.3142474654020483,0,C,Medium-Low,-1.4343652362786463,0,B,High,-0.3734678894939466,0,A,Medium-Low,0
